gene_name	baseMean	log2FoldChange	padj	N1_1	N1_2	WT_1	WT_2
Kcnd1	94.8202639103746	3.03061577467235	0.013352842395967	69.3733359808009	468.098999759369	41.6160228348044	25.203030531014
Kcng3	667.030723307742	-1.00815534222156	2.36803737778182e-07	383.417007297162	358.818581774396	860.141546173967	774.873750523012
Kcnk1	2014.0601581134	1.11633727907013	0.0319383095836437	1917.76771153404	3823.10885283529	1366.77191422538	1219.25553750928
Kcnq1ot1	783.208308305105	-1.1622849657276	2.90284168082979e-10	486.526158917985	518.90044159372	1123.63261653972	1128.08764656819
Kctd12	4629.14628068557	6.05718618614277	0.0120028437993525	76.6757923998326	11501.9907324594	76.1268710392764	97.7877584603345
Khdc3	61.1901113577176	-1.55145830304182	0.0264566227718164	35.1864337753622	14.6002636240368	66.252116593445	39.6611784547589
Klf7	1931.9625094049	-4.55277927514123	0.0295731839533696	355.379873976588	336.272207089938	1697.02597851187	2206.52565632838
Klhl15	711.809518038411	-1.35597924086789	0.0325885856059879	424.781074793713	586.179896147952	776.926986334956	1071.21738015301
LOC101056144	48.4852668772705	3.83673952920482	1.76905140965906e-06	61.1580725093903	55.3372848552743	4.06009978876141	5.04060610620281
LOC102631979	108.290123514253	-1.19960434358245	0.00966269905202534	43.81473851419	68.0376453138618	114.69781903251	139.120728531198
LOC102633151	674.359463518509	-2.78452619596729	0.00936934560033992	170.694918794865	79.8308371682645	440.520827080613	1280.31395097551
LOC102634300	357.85546207635	-1.23803653468099	0.00754539195279392	175.25895405676	189.598238274628	400.934854140189	457.687034443215
LOC102634709	36.0088130426206	1.7076466540145	0.00361902424163251	62.9836866141482	63.5018022929377	24.3605987325684	16.129939539849
LOC102636700	148.34912415821	-1.16606090295022	0.0371242193137512	103.147196918822	68.9448139180466	145.14856744822	237.916608212773
LOC102640399	267.048973649783	-1.32157267059668	0.000491160655379231	149.152081769574	142.466607203666	392.388930068954	349.106278827944
LOC105243553	48.4811813750151	-1.52309338161368	0.0417636844896331	16.4305269428213	32.6580697506537	61.9165217786115	78.6334552567638
LOC105244195	99.0766618451963	-1.87797459507948	1.9587422313319e-07	44.727545566569	39.0082499799474	149.208667236982	155.250668071047
LOC105246056	51.7418678931099	-9.25300356567417	0.0032954670136824	0	0	96.4273699830834	108.877091893981
LOC108167334	34.7400513751461	-2.54320656177544	0.00417763827064064	16.4083927931936	9.96541177456483	63.5281988155541	87.5883936272168
LOC108167377	89.3109813948856	-1.35380619503972	0.00450424240634742	41.0763173570532	51.708610438535	98.4574198774641	135.088243646235
LOC108167413	53.1971501285263	-1.31359537586635	0.00672885637300553	27.1757421882645	24.3070888200606	69.6020237062577	60.0267982845909
LOC108167560	43.5443008309513	-1.46127097591274	0.00644596285050673	23.7329833618529	19.0505406878813	53.7963222010887	61.4953944956743
LOC108168306	198.334247944578	-1.42202189283626	0.013755605971532	92.1935122902749	97.974209251961	327.853057942484	180.453698602061
LOC108168390	259.891291403747	-1.03344862551088	0.0377562142576809	107.711232180717	150.589988294681	260.86141142792	266.144002407508
LOC108168950	276.224255029008	1.21496395212146	0.000165296311572326	254.67316761373	272.150581255447	115.7128439797	111.901455557702
LOC108169010	109.857913614671	1.22607731395685	0.00180272987952764	96.9931689979346	107.942383870112	39.8335679993201	45.1310474852625
Lactb	501.940536370603	-2.25258206422984	8.21161175282567e-45	136.777735694343	137.292195384409	610.496993206004	667.458602996551
Layn	252.596447114146	-1.58039351697726	3.69663633672904e-12	129.312084235193	157.532875880804	410.735824663432	391.517682215987
Lcor	1782.23040238382	-1.02384457842958	0.0361703207338084	1522.02865599989	892.763237604051	2251.29231455446	2325.00634900698
Lpxn	46.4038095799325	-1.3107358133342	0.0339034607331895	26.1152655812059	25.0589866597465	63.2352904213317	64.8311674731288
Lrrc8b	1776.15397811152	1.97142860438596	0.0374664875186133	2394.20675746147	2340.92159931078	476.991780674826	723.246717125872
Lypd1	2875.73353545486	1.37024943052483	1.02111708237077e-05	5263.01037004297	4483.5407082163	1992.82334570557	1762.84324340924
Lyz2	519.111797413049	1.41914592859629	0.0249807840885382	854.387401026706	1261.87152842109	527.812972538983	264.127759965027
Macrod2	1806.23114395484	1.62886372255742	0.00396803000809771	2869.72812369546	2764.42339099806	1201.4342319789	944.731285614528
Malat1	17469.0461211144	-1.11257598344136	5.4350298484868e-06	11221.1370948945	11024.8200466582	21092.2184026155	27014.6243655833
Map1a	88826.3978322691	-2.02777686880164	0.0073314352734909	11035.1749559365	39847.6255664118	113911.874963368	105483.244252592
Mark1	2276.65430641489	-2.14197823329517	0.0214369609822374	544.173528103456	1065.8919777783	3577.93750683074	3447.19796522626
Meis3	661.021260120282	1.36478142680123	2.25983402567142e-18	994.319358731149	1009.62600460396	399.72772812706	389.550250335347
Mink1	3223.31251326549	-2.67110022646465	0.0361703207338084	1275.47244332524	1428.46711706174	1480.01598718409	16113.9114908124
Mirg	43.2153794007124	-2.33662088664459	0.0117675224666519	15.5177198904423	3.6286744167393	44.6610976763755	48.389818619547
Mllt11	11654.3051156196	-2.9817730418471	1.25975570953433e-11	2270.09467411247	2146.63038438113	14415.0535017588	18538.4450584768
Mllt6	3050.96731409751	1.65215626630428	0.0121438522038239	3974.30103035257	5728.37278062955	1482.41578528119	1556.56363127758
Mns1	149.761310126904	1.57190744106086	0.00535047800101499	315.125780957473	313.277366111372	122.792946038242	70.4726171025172
Mroh7	110.254615156627	3.14229594059109	0.0100528660246019	150.197113914685	176.406171918672	32.631240170652	6.05562539621416
Mtx3	1263.60062928102	2.00872207640155	0.000326665414259396	2360.62343823659	2384.51644592016	449.538750111304	756.655872122642
Myc	136.413840104941	-1.3699332215353	0.000962976177215639	90.3274628757495	90.7329574502748	252.749342284663	212.685061943196
Naa40	44.0951086583554	-2.23032905545903	0.0348863252370134	16.1901540365	23.8418348294201	133.85979905515	48.9224569849372
Ndufs7	2040.30944711769	2.09335084381508	4.37937301813975e-74	2780.76799291574	3076.21535282475	673.055650539163	675.735268575012
Neil1	131.775832021397	-1.93343638674098	2.65366507054056e-11	61.2829732256273	71.2933811174473	209.152586356054	211.574890623524
Nf2	3311.53679149844	-1.54822296903087	1.68180626035478e-23	1905.38180077752	1534.77099016675	3767.16685884102	3650.74559235614
